مرحبًا.	Hi.
أنتَ لست في وضع يسمح لكي تسأل عن أي شئ.	You are not in a position to ask for anything.
بلا شك أنت السبّاح الأفضل بيننا.	You are undoubtedly the best swimmer among us.
لا يَبدوا أَنَّكَ تَعرِفُ ما سَيَحصُل	You don't seem to know what's going to happen.
عليك أن تتعلم الصبر على هذا الجوّ.	You have to learn to put up with this weather.
انت تعلم اني احبك, اليس كذلك.	You know that I'm in love with you, don't you?
يجب عليك تجنب مثل هذه الاخطاء	You must avoid making those kinds of mistakes.
أنت حتماً اللاعب الأفضل في الفريق.	You're definitely the best player on the team.
أنتَ فقط تهرب من مشاكل الحياة.	You're just running away from life's problems.
أنتِ فقط تهربين من مشاكل الحياة.	You're just running away from life's problems.
امرأةً مثلك لا تستحق رجلاً مثلي.	A woman like you doesn't deserve a man like me.
كل ما عليك فعله أن تنتبه لنفسك.	All you have to do is to take care of yourself.
تقريباً يحمل جميع السياح آلة تصوير معهم.	Almost every tourist carries a camera with him.
هل سبق لك أن حلمت بالطيران في السماء؟	Do you ever dream about flying through the sky?
هل يجب ان تُكتْب هذه الرسالة بالإنجليزية	Does this letter have to be written in English?
ذكّرني كي أجدّد جواز سفري.	Don't forget to remind me to renew my passport.
لا تنس إعادة الكتاب إلى المكتبة.	Don't forget to return the book to the library.
لا تقلق بشأن الأشياء الغير مهمة.	Don't worry about things that aren't important.
كل شيء كان على ما يرام حتى بدأ توم الشرب.	Everything was fine until Tom started drinking.
هل سبق أن استدنت من شركتك؟	Have you ever borrowed money from your company?
هو أنقذ الطفل مجازفاً بحياته.	He saved the child at the risk of his own life.
هو أنقذ الطفل مخاطراً بحياته.	He saved the child at the risk of his own life.
أخبرني أنه يريد ترك الشركة.	He told me that he wanted to leave the company.
لقد كان أحمق بما يكفي ليصدق ما قالته.	He was foolish enough to believe what she said.
كان سيخبرني بالحقيقة إذا كنت سألته.	He would tell me the truth, if I would ask him.
كم يوماً تحتاج عادةً للوصول إلى هناك؟	How many days do you usually need to get there?
كم حقيبة ستأخذون في رحلتكم؟	How many suitcases are you taking on your trip?
أنا أطهو, ولكن لا أفعل هذا بمتعة كبيرة.	I cook, but I don't do that with much pleasure.
أنا أطبخ, لكن لا أفعل هذا بمتعة كبيرة.	I cook, but I don't do that with much pleasure.
لم أكن لأفعل ذلك من دون مساعدتك.	I couldn't have done it without you. Thank you.
لا أعتقد أن توم كان مترددا في القيام بذلك.	I don't think that Tom was hesitant to do that.
وجدت المشكلة أسهل مما كنت أتوقع.	I found the problem easier than I had expected.
لديُ إبنة متزوجه من رجل فرنسي.	I have a daughter who's married to a Frenchman.
يراودني إحساسٌ بأنّي قابلتها في مكانٍ ما سابقًا.	I have a feeling I've met her somewhere before.
لي صديق أباه ممثل مشهور.	I have a friend whose father is a famous actor.
أنا أحب السباحة, ولكن لا أحب أن أسبح هنا.	I like swimming, but I don't like to swim here.
لم أكن أتخيل للحظة أنني سوف أفوز.	I never for a moment imagined that I would win.
أردت الذهاب إلى مكان لم يسبق لي الذهاب إليه.	I wanted to go somewhere I'd never been before.
سأحصل على المال من توم بطرقة أو بأخرى.	I'll get the money from Tom one way or another.
أخشى أني أرسلت الطرد للعنوان الخطأ.	I'm afraid I have addressed the parcel wrongly.
سوف أعلمك كيفية صيد السمك الاحد المقبل.	I'm going to teach you how to fish next Sunday.
أنا أتتطلع للعمل معك.	I'm looking forward to doing business with you.
لن أتوقّف عن البحث حتّى أجد توم.	I'm not going to stop looking until I find Tom.
أنا متأكد أني أستطيع أن أفعل هذا بطريقة أو بأخري.	I'm pretty sure I can do it one way or another.
إن لم يكن هناك ما تفعله، لمَ لا تقرأ كتابا؟	If you have nothing to do, why not read a book?
هل من الممكن أنها بالفعل الساعة الثامنة؟	Is it possible that it's already eight o'clock?
يُقال أن التدخين سيئ للصحة.	It is said that smoking is bad for your health.
أمضيت ساعتين و أنا أحفظ هذه الجملة.	It took me two hours to memorize this sentence.
كان لطفًا عظيمًا منك أن تهديني هديةً جميلةً.	It was very kind of you to give me a nice gift.
كان من عظيم لطفك أن أعرتني مظلةً.	It was very kind of you to lend me an umbrella.
كان أبي وأمي جالسين تحت شجرةٍ.	My father and mother were sitting under a tree.
لم يعارض أحد انتخابه كرئيس للمجلس.	Nobody argued against choosing him as chairman.
أخبرتني ذات يوم أنها أرادت قطة أليفة.	One day, she told me that she wanted a pet cat.
مات مليون شخص في الحرب.	One million people lost their lives in the war.
مليون شخص استُشهدوا في الحرب.	One million people lost their lives in the war.
ربما، كنت لتفضل طبقًا فرنسيا.	Perhaps you would have preferred a French dish.
رجاء اترك رسالة على المجيب الآلي.	Please leave a message on my answering machine.
من فضلك أخبرني كيف أكون على تواصل معها.	Please tell me how I can get in touch with her.
من فضلِك أخبريني كيف أكون على تواصل معها.	Please tell me how I can get in touch with her.
أخبرني كيف أتصل به لو سمحت.	Please tell me how I can get in touch with him.
هي لا تريدني أن أتحدث حول هذه المسألة.	She doesn't want me to speak about this matter.
إنها مشهورة في اليابان وأمريكا أيضًا.	She is well known both in Japan and in America.
قضاء وقت مع أطفالك لن يضر.	Spending time with your children couldn't hurt.
أخبر توم أنه يمكنه الذهاب عندما ينتهي.	Tell Tom that when he's finished, he can leave.
عند وصولي للمدرسة كان الجرس رن.	The bell had already rung when I got to school.
لم يستطع الفتى أن يجد طريق الخروج من المتاهة.	The boy could not find his way out of the maze.
الحفل اختتم بالنشيد الوطني .	The concert concluded with the national anthem.
منعنا المطر الغزير من الذهاب للصيد.	The heavy rain prevented us from going fishing.
اعتقله الشرطي لقيادته تحت تأثير الكحول.	The policeman arrested him for drunken driving.
استمر الجو الممطر عشرة أيام متواصلة.	The rainy weather lasted for ten days straight.
وجب على السياح مغادرة البلدة قبل حلول الفجر .	The tourists had to leave the town before dawn.
لم يكن هناك أي أثاث في الغرفة على الإطلاق.	There was absolutely no furniture in that room.
كان هناك ثلاثة ينتظرون أمامي.	There were three people waiting in front of me.
هذه هي القرية التي عشت فيها طفولتي.	This is the village where I spent my childhood.
.سألني توم إن كنت أعرف كيف أصل إلى منزله.	Tom asked me if I knew how to get to his house.
اشترى توم زوج قفازات دراجة نارية جلدية	Tom bought a pair of leather motorcycle gloves.
اشترى توم زوج قفازات جلدية للدراجة النارية	Tom bought a pair of leather motorcycle gloves.
لا يوجد أي سبب يدعو توم لئلا يصدق ماري.	Tom didn't have any reason not to believe Mary.
لا يوجد أي سبب يدعو توم لكي لا يصدق ماري.	Tom didn't have any reason not to believe Mary.
توم أقنع بسهولة ماري أنهُ كان بريئاً.	Tom easily convinced Mary that he was innocent.
غالبا ما يشكو توم من طهو أمه	Tom often complains about his mother's cooking.
غالبا ما يتذمر توم من طهو أمه	Tom often complains about his mother's cooking.
غالباَ مايقود توم سيارته أسرع قليلا من الحد المسموح به	Tom often drives slightly over the speed limit.
غالباَ ما يتجاوز توم حد السرعة بقيادته بشكل طفيف	Tom often drives slightly over the speed limit.
قال توم بأنه من المحتمل أن ماري لازالت مرتعبة.	Tom said Mary was likely to still be terrified.
قال توم إنه يعتقد أن ماري لم تحب جون.	Tom said that he thought Mary didn't like John.
ينفق توم ساعة يوميا في تعلم الفرنسية.	Tom spends about an hour a day studying French.
أخبر توم ماري بأن علاقتهما انتهت.	Tom told Mary that their relationship was over.
ما الذي تعنيه كلمة "get" في هذه الجملة؟	What does the word "get" mean in this sentence?
عند دخولي إلى الغرفة كان مستغرقاً في قراءة كتاب.	When I entered his room, he was reading a book.
اينما تذهب ، سوف تجد سياح يابانيون .	Wherever you go, you'll find Japanese tourists.
لماذا يهتم المسلمون بالدفن كثيرًا؟	Why do Muslims place such importance on burial?
هل تريد أن تذهب إلى حديقة الحيوان بعد ظهر هذا اليوم؟	Would you like to go to the zoo this afternoon?
أنت شاب. أما أنا -فعلى العكس- طاعن في السن.	You are young. I, on the contrary, am very old.
ينبغي أن تميز بين الصحيح والخطأ.	You should distinguish between right and wrong.
ينبغي أن تقرأ كتبًا مشابهةً إذ أنها نافعة لك.	You should read such books as will benefit you.
يجب عليكَ أن لا تحكم علىَ شخص من مظهرهُ.	You shouldn't judge a person by his appearance.
يجب عليكِ أن لا تحكمىِِ علىَ شخص من مظهرهُ.	You shouldn't judge a person by his appearance.
لا أحب أن أراك تصرخ في وجهها.	You were shouting at her and I don't like that.
لن تصل هناك على الوقت إن لم تستعجل.	You won't get there on time if you don't hurry.
لن يعجبك ما سأقول.	You're not going to like what I'm going to say.
لن يروق لك ما سأقول.	You're not going to like what I'm going to say.
أنت بلاشك اللاعب الأفضل في الفريق.	You're undoubtedly the best player on the team.
ولد مثل توم لا يستحق فتاة مثل ماري.	A boy like Tom doesn't deserve a girl like Mary.
ولد مثل توم لا يستحق بنت مثل ماري.	A boy like Tom doesn't deserve a girl like Mary.
لم يكن لطفلٍ أن يفهم الموقف.	A child could not have understood the situation.
خطأ معلوم خيرٌ من حق مجهول.	A known mistake is better than an unknown truth.
إستطلاع يُظهر أن العديد من رجال الأعمال يتخطون الغداء.	A survey shows that many businessmen skip lunch.
أتوجد مجلّات إنجليزيّة في هذه المكتبة؟	Are there any English magazines in this library?
هل أنتَ مُتأكِّد أنّنا نسير في الاتّجاه الصّحيح؟	Are you sure we're going in the right direction?
هل بإمكانك مساعدتي في المطبخ؟	Could you give me a hand in the kitchen, please?
أيمكنك أن تتحدث ببطئ من فضلك؟	Could you please speak a little bit more slowly?
هل اسمتعت بوقتك في رحلتك إلى لندن؟	Did you have a good time on your trip to London?
لا تتحدى من ليس لديه ما يخسره.	Don't challenge someone who has nothing to lose.
حفظ جميع من في الصف القصيدة عن ظهر قلب.	Everyone in the class learned the poem by heart.
اذهب إلى الكنيسة مع والديك وادعُ لها.	Go to church with your parents and pray for her.
اذهب إلى الكنيسة مع والديك وصلّ لها.	Go to church with your parents and pray for her.
هو لديه عادة أن يمشي كل صباح.	He makes it a rule to take a walk every morning.
أخرج من وظيفته إلى أن يجدوا مزيدا من الأعمال.	He was laid off until there was more work to do.
كم من الوقت استغرقك لتترجم هذا الكتاب؟	How long did it take you to translate this book?
كم يوماً تحتاج عادةً للوصول إلى هناك؟	How many days does it usually take to get there?
كم ثمن السيارة اللتي تنوي أن تشتريها؟	How much is the car that you're planning to buy?
أنا لا أستطيع شكرك بما يكفي على كل لطفك.	I cannot thank you enough for all your kindness.
لم أُرِد أن أقول أي شيء في وجود توم.	I didn't want to say anything in Tom's presence.
من العسير علي أن أصحو باكراً في الايام الباردة .	I find it hard to get up early on cold mornings.
لقد وجدت الفندق مزدحم بالسياح الاجانب .	I found the hotel crowded with foreign tourists.
سمعت صوت اصطدام حوالي العاشرة ليلة الأمس.	I heard a crash at about ten o'clock last night.
أنا نظرت في أعيُن توم وأخبرتةُ الحقيقة.	I looked Tom in the eyes and told him the truth.
لم أرغب أبداً أن تتورط فى هذهِ الفوضىَ.	I never wanted you to get involved in this mess.
أذكر أني سمعت قصة مشابهة.	I remember hearing a very similar story to that.
أرى أن هذا المعجم مفيد للمبتدئين.	I think this dictionary is useful for beginners.
أتمنى أن تتوقف عن تشغيل تلك الموسيقى الغبية.	I wish she would stop playing that stupid music.
أنا لستُ راضياً عن جودةِ عملكَ.	I'm not satisfied with the quality of your work.
أنا حقاً أتتطلع لحفلة الليلة.	I'm really looking forward to tonight's concert.
سئمت من سماع نفس الموشّح دائمًا.	I'm sick of hearing the same thing all the time.
أنا أسف لعدم قدرتي لحضور عزاء توم.	I'm sorry I wasn't able to attend Tom's funeral.
أعتذر عن ما سببته لك من متاعب.	I'm sorry to have caused you such inconvenience.
متأكد أن توم لن يفعل شيئا كهذا.	I'm sure Tom would never do something like that.
أنا أقوم بكل ما بوسعي لأنسى أنّ ذلك قد حدث.	I'm trying my best to forget that ever happened.
أنا خجل جدا مما فعلت.	I'm very ashamed of myself about what I've done.
سيقتلني توم إن عرف أنّي قلتُ لكَ هذا.	If Tom finds out I told you this, he'll kill me.
سيقتلني توم إن عرف أنّي قلتُ لكِ هذا.	If Tom finds out I told you this, he'll kill me.
إن ارتفعت حرارتها، فاطلب الطبيب.	If her temperature goes up, send for the doctor.
لم يحدث ذلك كما قال توم	It didn't really happen the way Tom said it did.
يستحيل إنهاء التقرير في أسبوع.	It is impossible to finish the report in a week.
يستحيل إنهاء التقرير في غضون أسبوع.	It is impossible to finish the report in a week.
أصبحت اليابان أمة قوية إقتصاديا.	Japan has economically become a powerful nation.
إياك أن تسبح تحت تأثير الكحول.	Never swim while under the influence of alcohol.
لا يهم ما تفعله, يجب عليك أن تفعل أفضل ما لديك.	No matter what you do, you have to do your best.
إعذرني لأني لم أكتب أبكر.	Please forgive me for not having written sooner.
الرجاء ابلاغي عن أي تغيير في حالته.	Please inform me of any change in his condition.
الشاب الذي كان هنا أعطاني هذه لك.	That guy who was just here gave me this for you.
لقد حدث هذا الحادث بسبب إهماله	The accident happened because he wasn't careful.
وقع الحادث أمام عيني.	The accident happened right in front of my eyes.
أشرق وجه الطفل حين رأى بابا نويل.	The child's face glowed when he saw Santa Claus.
قوة الريح جعلت المشي صعباً.	The force of the wind made it difficult to walk.
ربط الخاطفون يدي توم خلف ظهره.	The kidnappers tied Tom's hands behind his back.
الشيء الوحيد الثابت في هذا العالم هو التغيير.	The only thing constant in this world is change.
كره أهل بوسطن الجنود البريطانيين.	The people of Boston hated the British soldiers.
المشكلة أن الطاقة الشمسية تكلف كثيرا.	The problem is that solar energy costs too much.
كان هناك قليل من الحليب المتبقي في الزجاجة.	There was only a little milk left in the bottle.
هناك نافورة ماء للشرب قرب ملعب التنس.	There's a drinking fountain by the tennis court.
عادةً ما يذهبون إلى المدرسة من الاثنين الى الجمعة.	They usually go to school from Monday to Friday.
يصعب عليّ جدا أن أفهم هذا الكتاب.	This book is too difficult for me to understand.
هذه أول مرة أقرأ فيها الكتاب المقدس.	This is the first time for me to read the Bible.
هذا مكان الحادثة.	This is the place where the incident took place.
لم يكن على توم إخباري، لكني مسرورة لأنه فعل.	Tom didn't have to tell me, but I'm glad he did.
لايبدو أن توم يريد الذهاب للفراش الآن	Tom doesn't seem to want to go to bed right now.
أدرك توم بأنه لا يستطيع الدراسة إن كان التلفاز يعمل.	Tom found that he couldn't study with the TV on.
تظاهر توم بأنه يجهل ما كان يحدث.	Tom pretended he didn't know what was happening.
قال توم إنه يعتقد أنني يجب أن أفعل ذلك اليوم.	Tom said that he thought I should do that today.
لقد أمضى توم 3 أعوام في السجن جزاءاَ لما قام به	Tom spent three years in prison for what he did.
أخبر توم ماري بأنها لا يجب أن تذهب إلى هناك بمفردها.	Tom told Mary that she shouldn't go there alone.
اراد توم ان ياخذني للرقص ، ولكني قلت لا	Tom wanted to take me to a dance, but I said no.
ثق بنفسك واتبع قلبك حتي النهاية.	Trust yourself and follow your heart to the end.
لا نسطيع رؤية الأشعّة فوق البنفسجيّة، لكنّ الحشرات تستطيع أن تراها.	We can't see ultraviolet light, but insects can.
متى غادرت منزلك صباح اليوم؟	What time did you leave your house this morning?
ماذا كنتَ ستفعلُ لو كنت أصغر بعشر سنين؟	What would you do if you were ten years younger?
ماذا كنتِ ستفعلينَ لو كُنتِ أصغر بعشر سنين؟	What would you do if you were ten years younger?
لماذا تهتم البنات بما يفكّر الأولاد لهذه الدرجة؟	Why do girls care so much about what guys think?
لماذا قد يكون أخذ صور للقطارات مثيرًا؟	Why is taking pictures of trains so interesting?
كنت تقول دائما انك تريد العيش في استراليا.	You always said you wanted to live in Australia.
ليس أمامنا وقت لهذا كما تعلم.	You know that we don't have much time right now.
تعلم لم أنا لست مضطرّا للقيام بهذا، أليس كذلك؟	You know why I don't have to do that, don't you?
ستتفاجأ حين ترى ما تستطيع تعلمه في أسبوع.	You'd be surprised what you can learn in a week.
لست كبيرا بما يكفي لتحصل علي رخصة قيادة.	You're not old enough to get a driver's license.
ما أريده الآن هو الجلوس والاسترخاء.	All I want to do right now is sit here and relax.
هل إستلمتَ الرسالة التي أرسلتها لكَ بالأمس؟	Did you receive the message I sent you yesterday?
هل تذكر اليوم الذي رأينا فيه الحادث؟	Do you remember the day when we saw the accident?
هل تذكر اليوم الذي تقابلنا فيه أنا وأنت أول مرة؟	Do you remember the day when you and I first met?
إنه لا يقصد أن يعامل الآخرين بقسوة. إنها طبيعته فحسب.	He doesn't mean to be mean. It's just his nature.
وافق أبوه على خطتي رغما عنه.	His father consented to my plan against his will.
أوافقك الرأي أن الممثل موهوب جدا.	I agree with you that the actor is very talented.
أحمل معي قنينة مياه معدنيّة دومًا.	I always carry a bottle of mineral water with me.
اتصلت بصديقي بعد أن وصلتُ إلى المحطة.	I called my friend after arriving at the station.
لم أعلم بأنه كان على توم فعل ذلك بنفسه.	I didn't know that Tom had to do that by himself.
ليست لدي أحكام مسبقة ضد العمال الأجانب.	I don't have a prejudice against foreign workers.
لا أعرف ماذا أقول لأجعلك تشعر بشعور أفضل.	I don't know what to say to make you feel better.
واجهت مشكلا مماثلا مؤخرا.	I had a problem similar to that not too long ago.
يراودني إحساسٌ بأنّي قابلتُ ذاك الفتى سابقًا.	I have the feeling that I've met that guy before.
كان علي أن أحجز في الفندق مسبقا.	I ought to have made a hotel reservation earlier.
أخبرتك بالحقيقة عندما بُحت بحبي لك.	I told you the truth when I told you I loved you.
كنت عطشاناً فأردت أن أشرب شيئاً بارداً.	I was thirsty and wanted to drink something cold.
لن أنس أبدا التّجربة التي عشتها البارحة.	I'll never forget the experience I had yesterday.
أنا جائع، لذلك سأذهب لتناول بعض الطعام.	I'm hungry, so I'm going to get something to eat.
من المهم أن تتذكر من هم أصدقاؤك.	It is important to remember who your friends are.
سيكون من السهل إيجاد شخص يقوم بذلك من أجلك.	It'll be easy to find someone to do that for you.
إنّها لفكرة جيّدة أن يزور المرأ طبيبا من حين لآخر.	It's a good idea to see a doctor once in a while.
دعونا فقط نتظاهر كأننا لا نعرف بعضنا البعض.	Let's just pretend like we don't know each other.
دعنا فقط نتظاهر وكأننا لا نعرف بعضنا البعض.	Let's just pretend like we don't know each other.
دعينا فقط نتظاهر وكأننا لا نعرف بعضنا البعض.	Let's just pretend like we don't know each other.
ماري جميلة، لكن لا أظن أنها ذكية جدا.	Mary is cute, but I don't think she's very smart.
أخبرني الطبيب أن علي شرب المزيد من المياه.	My doctor told me that I should drink more water.
كان أبي على وشك أن يغادر عندما رن جرس الهاتف.	My father was about to leave when the phone rang.
موقعنا على الوِب متوقّف للصيانة المجدولة.	Our website is offline for scheduled maintenance.
على الوالدين تشجيع أبناءهم على القراءة.	Parents need to encourage their children to read.
من فضلك أعطني قلماً و بضعة أوراق.	Please give me a pencil and some sheets of paper.
بعض الاطفال كانو يلعبون لعبة الصحن الطائر قرب البركة .	Some children were playing frisbee near the pond.
أُلغيت المباراة بسبب تغير الجو.	Thanks to the bad weather, the game was canceled.
كان ذلك على الأرجح ما أثّرَ على قرارِهِم.	That was probably what influenced their decision.
زادت الفرقة الموسيقية عدد الحفلات في جولتها.	The band upped the number of shows in their tour.
هناك احتمال ضعيف جدا أن يحدث ذلك.	The odds against that happening are astronomical.
الشخص الذي يستخدم فرشاة الأسنان هذه ليس أمي.	The one who uses this toothbrush isn't my mother.
المشكلة هي أنني لم يكن لديّ ما أقوله له.	The problem was that I had nothing to say to him.
البرنامج سوف ينتهي بالنشيد الوطني .	The program will finish with the national anthem.
كانت نتيجة التصويت 28 صوتا بنعم و 20 بلا.	The vote was twenty-eight for and twenty against.
هناك القليل من التفاح على الشجرة ، أليس كذلك؟	There are a few apples on the tree, aren't there?
ليس هناك حاجة للاستعجال. لدينا متسع من الوقت.	There's no need to hurry. We have plenty of time.
لم يُترجم هذا الكتاب إلى الفرنسية بعد.	This book hasn't yet been translated into French.
هذا الرسم يعود تاريخه الى القرن الخامس عشر.	This drawing dates back to the fifteenth century.
هذه الوردة هي أجمل الورود على الإطلاق.	This flower is the most beautiful of all flowers.
هذا القطار مكتظ، فلنركب التالي.	This one's crowded, so let's take the next train.
سيستغرق المشروع سنة على الأقل.	This project will take at least a year to finish.
سيستغرق إنهاء المشروع سنةً على الأقل.	This project will take at least a year to finish.
توم ينظف أسنانه بالفرشاة ثلاث مرات على الأقل يومياَ	Tom brushes his teeth at least three times a day.
لاحظ توم سيارة الشرطة في مرآة الرؤية الخلفية.	Tom noticed a police car in the rear-view mirror.
أخبرني توم بأنه أراد مني أن أتعلم كيف أفعل ذلك.	Tom told me he wanted me to learn how to do that.
أراد توم التوضيح ولكن ماري لم تدعه.	Tom wanted to explain, but Mary wouldn't let him.
يجب علينا إنهاء كل شيء قبل صباح الثلاثاء.	We must finish everything before Tuesday morning.
ماذا فعلت عندما رجعت إلى منزلك أمس؟	What did you do when you got back home yesterday?
من أعطاك الحق بأن تتحدث إلي هكذا؟	What gives you the right to talk to me like that?
ما يقوله ليس له علاقة بهذه المشكلة.	What he says has nothing to do with this problem.
لمَ لمْ تخبرني بأنّ اجتماعًا انعقد اليوم؟	Why didn't you tell me there was a meeting today?
لمَ لمْ تخبرني بأنّ اجتماعًا عُقِدَ اليوم؟	Why didn't you tell me there was a meeting today?
بدون الموسيقى, العالم سيكون كمان مُمِل.	Without music, the world would be a boring place.
أنت شاب. أما أنا -فعلى العكس- طاعن في السن.	You are young. I, on the other hand, am very old.
إمّا أن تأخذ الصندوق الكبير أو الصغير.	You may take either the big box or the small one.
عدد من السياح اصيبوا في الحادثة .	A number of tourists were injured in the accident.
فتاة حسناء مثلك حتما تكون قد لوحظت.	A pretty girl like you will definitely be noticed.
بعد أن إنتهوا من العمل، ذهبوا للخارج	After they had finished their work, they went out.
كل ما أستطيع فعله في الوقت الحالي هو الجلوس هنا والإستماع.	All I can do at the moment is sit here and listen.
كل شخص في هذه الغرفة، تقريبًا، أطول مني.	Almost everybody in this room is taller than I am.
أي شيء تقوله يمكن أن يستعمل و سيستعمل ضدك.	Anything you say can and will be used against you.
يمكن استخدام أي شيء تقوله ضدك في المحكمة.	Anything you say can be used against you in court.
هل أنت متأكد أنه ليس توم من فعل هذا؟	Are you sure that Tom wasn't the one who did that?
أيمكنك أن تخبرني متى يغادر القطار؟	Can you please tell me what time the train leaves?
هلّا اقترحت مكانا جيدا لأكل الطعام الكوري؟	Can you recommend a good place to eat Korean food?
أيمكنك أن تعلّمني كيف أستخدم الغسّالة؟	Could you tell me how to use this washing machine?
عامل الناس كما تحب أن يعاملوك.	Do unto others as you would have them do unto you.
أود التحدث معك للحظة لو سمحت.	Excuse me, I'd like to talk with you for a moment.
هل سبق لك أن رأيت سمكة قرش يزيد طولها عن ثلاثة أمتار؟	Have you ever seen a shark over three meters long?
هو قادر على تدريس كلاً من الإنجليزية والفرنسية.	He is capable of teaching both English and French.
بلّغ السلطاتِ عنه أفضلُ أصدقائه.	His best friend ratted him out to the authorities.
أنا بالفعل ذهبت إلى محل الجزار هذا الصباح.	I already went to the butcher's shop this morning.
أنا ممتن لك لاستضافتك إياي في الحفلة.	I am grateful to you for inviting me to the party.
لا أدري إن كان بإمكاننا فعل ذلك.	I don't know if we're going to be able to do that.
لا أرى مشكلة فيما تفعل.	I don't see anything wrong with what you're doing.
أنا نسيت أن أعطيك ما أعطانيه توم لأعطيه لك.	I forgot to give you what Tom gave me to give you.
لدي كلبين, واحد أبيض و الآخر أسود	I have two dogs. One is white and the other black.
آمل أن يستطيع أن يأتي! أود أن أراه.	I hope he'll be able to come! I'd like to see him.
تعلمت العزف على الغيتار عندما كان عمري عشر سنوات.	I learned to play guitar when I was ten years old.
أذكر شكله و لكنني لا أستطيع أن أتذكر اسمه.	I remember his face but I can't remember his name.
اعتقد ان توم يحتاج ان يريه احدهم كيف يفعل ذلك.	I think that Tom needs to be shown how to do that.
ألّفت أغنية عما حدث هنا السنة الماضية.	I wrote a song about what happened here last year.
سأبذل جهدي ألا أزعجك وأنت تدرس.	I'll try not to disturb you while you're studying.
لست قلقا بشأن توم. انا قلق بشأن ماري.	I'm not worried about Tom. I'm worried about Mary.
أنا مازلت أحاول ان أعزف على الجيتار مثل إريك كلابتون.	I'm still trying to play guitar like Eric Clapton.
أنا جبان لدرجة أنني نادرا ما أزور طبيب الأسنان.	I'm such a coward that I rarely visit the dentist.
في ست وأربعين سنة بني هذا الهيكل.	It has taken forty-six years to build this temple.
إنها لم تكن أول مرة, ولن تكون الأخيرة.	It wasn't the first time and it won't be the last.
تواجه اليابان أزمات اقتصادية قاسية.	Japan is confronted with severe economic problems.
الكثير من الناس شقوا طريقهم باتجاه المخرج الخلفي.	Many people pushed their way toward the rear exit.
اقترض أخي الأكبر مالاً من مرابي	My older brother borrowed money from a loan shark.
يرجى ملء نموذج طلب الوظيفة المرفق.	Please complete the attached job application form.
يرجى ملء نموذج طلب الوظيفة المرفق.	Please fill out the attached job application form.
تدربتْ على نطقها للإنجليزية أمس.	She practiced her English pronunciation yesterday.
لقد حذّرت الأولاد من اللعب على الطريق.	She warned the children not to play on the street.
بعضهم مدرّسون ، وبعضهم مهندسون.	Some of them are teachers, and some are engineers.
ستتأخر الرحلة بسبب عاصفة رملية.	The flight will be delayed because of a sandstorm.
الفندق الذي نزلنا به مريح جداً.	The hotel at which we stayed was very comfortable.
ترجمت الرواية إلى العديد من اللغات.	The novel has been translated into many languages.
عمال السكك الحديدية سيضربون عن العمل غداً.	The railroad workers are going on strike tomorrow.
هناك دليل لا يقبل الجدل أن توم هو اللص.	There is indisputable proof that Tom is the thief.
بين الشجاعة والغباء هناك خطّ رفيع.	There's a fine line between bravery and stupidity.
فيما عدا أيام الجمعة، فإن توم دائماً ما يرتدي ربطة عنقٍ إلى العمل.	Tom always wears a tie to work, except on Fridays.
توم دائما ما يرتدي ربطة عنق إلى العمل، فيما عدا يوم الجمعة.	Tom always wears a tie to work, except on Fridays.
يظهر أن كلًّا من توم وماري في مزاج سعيد.	Tom and Mary both appear to be in a cheerful mood.
سأل توم ماري إذا ما كانت خططت للسباحة أم لا.	Tom asked Mary whether she planned to swim or not.
توم اشترى لكل واحد من أبنائه مظلة صفراء.	Tom bought each of his children a yellow umbrella.
لا يعرف توم كيف يستريح ويستمتع بحياته.	Tom doesn't know how to relax and just enjoy life.
توم وَقَفَ على قَدَمَيهِ و مَشى إلى الشُبَّاكِ	Tom got to his feet and walked over to the window.
أتضح لتوم أنه وقع في حبّ ماري.	Tom realized that he had fallen in love with Mary.
قال توم بأنه لا يعرف كيف يحل المشكلة	Tom said he doesn't know how to solve the problem.
قال توم أنه لا يعرف كيفية حل المشكلة	Tom said he doesn't know how to solve the problem.
ظن توم أنه سمع بعض الأصوات في الغرفة المجاورة.	Tom thought he heard some voices in the next room.
توم سيغادر الشركة في نهاية العام.	Tom will leave the company at the end of the year.
يتجمد الماء عند صفر درجة مئوية، أليس كذلك؟	Water freezes at zero degrees Celsius, doesn't it?
لا نستطيع ان نفصلها عن اختها الصُغرى	We cannot distinguish her from her younger sister.
لدينا الكثير من العمل للقيام به قبل الذهاب للمنزل	We have a lot of work to do before we can go home.
نحن لم نرى الكثير من السياح بالقرب من هنا مؤخراً.	We haven't seen a lot tourists around here lately.
تأخرنا على المدرسة بسبب المطر الغزير.	We were late for school because it rained heavily.
نأسف, ولكن هذا الفيديو ليس متاحاً.	We're sorry but this video is no longer available.
ما هو مهم ليس الهدف, ولكن الرحلة.	What's important is not the goal, but the journey.
متى كانت آخر مرة نظفّت فيها الشقة؟	When was the last time you cleaned your apartment?
هل تفضل أن تكون بدين وقبيح أو أن تكون نحيف ومثير؟	Would you rather be fat and ugly or thin and sexy?
لست أحسن في تذكر الأشياء مني.	You are no better at remembering things than I am.
يمكنك الذهاب للبيت بعد إنتهائك من هذا العمل.	You can go home after you have finished this work.
ليس عليك الحديث إليّ إن لم ترغب بذلك.	You don't have to talk to me if you don't want to.
من الأفضل لك أن تزور طبيبك في الحال.	You'd better go to see your family doctor at once.
